timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
460,995=-2,790=0,604=0,000=0,000=0,000=-0,995=0,103
461,135=-2,796=0,602=0,000=0,000=0,000=-0,994=0,106
461,245=-2,799=0,602=0,000=0,000=0,000=-0,994=0,108
461,255=-2,800=0,601=0,000=0,000=0,000=-0,994=0,109
461,265=-2,801=0,600=0,000=0,000=0,000=-0,994=0,109
461,295=-2,801=0,600=0,000=0,000=0,000=-0,994=0,109
461,345=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,365=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,395=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
461,445=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,485=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,535=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,595=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,655=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,725=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
461,895=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
461,985=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,065=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
462,145=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,225=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,395=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,475=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,535=-2,801=0,599=0,000=0,000=0,000=-0,994=0,111
462,615=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,675=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,735=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
462,815=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
462,885=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
462,955=-2,801=0,600=0,000=0,000=0,000=-0,994=0,109
463,035=-2,802=0,600=0,000=0,000=0,000=-0,994=0,109
463,095=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
463,145=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
463,195=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
463,255=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
463,355=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
463,405=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
463,435=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
463,485=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
463,545=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
463,585=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
463,635=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
463,665=-2,801=0,601=0,000=0,000=0,000=-0,994=0,110
463,705=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
463,735=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
463,785=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
463,825=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
463,865=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
463,895=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
463,935=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,025=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,065=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,085=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,115=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,175=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,275=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,295=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,335=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,375=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,395=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,455=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,495=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
464,545=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
464,595=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
464,655=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
464,715=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
464,765=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
464,835=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
464,895=-2,801=0,599=0,000=0,000=0,000=-0,994=0,111
464,955=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
465,015=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
465,075=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
465,135=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
465,295=-2,801=0,600=0,000=0,000=0,000=-0,994=0,109
465,365=-2,800=0,598=0,000=0,000=0,000=-0,994=0,110
465,435=-2,800=0,599=0,000=0,000=0,000=-0,994=0,110
465,505=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
465,565=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
465,775=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
465,905=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
465,975=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
466,035=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
466,115=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
466,255=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
