timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
72,846=4,312=0,785=0,000=-0,000=0,000=0,986=-0,167
72,926=4,383=0,901=0,000=-0,000=0,000=0,981=-0,195
73,016=4,378=0,889=0,000=-0,000=0,000=0,980=-0,201
73,096=4,376=0,883=0,000=-0,000=0,000=0,978=-0,206
73,176=4,375=0,881=0,000=-0,000=0,000=0,978=-0,211
73,256=4,375=0,881=0,000=-0,000=0,000=0,977=-0,214
73,416=4,375=0,881=0,000=-0,000=0,000=0,976=-0,216
73,506=4,375=0,881=0,000=-0,000=0,000=0,976=-0,217
73,646=4,375=0,881=0,000=-0,000=0,000=0,976=-0,218
73,786=4,375=0,882=0,000=-0,000=0,000=0,976=-0,219
73,846=4,376=0,883=0,000=-0,000=0,000=0,976=-0,219
73,976=4,376=0,885=0,000=-0,000=0,000=0,976=-0,219
74,016=4,377=0,885=0,000=-0,000=0,000=0,976=-0,219
74,066=4,377=0,887=0,000=-0,000=0,000=0,976=-0,220
74,126=4,378=0,888=0,000=-0,000=0,000=0,975=-0,220
74,186=4,378=0,889=0,000=-0,000=0,000=0,975=-0,220
74,266=4,378=0,890=0,000=-0,000=0,000=0,975=-0,220
74,346=4,379=0,891=0,000=-0,000=0,000=0,975=-0,221
74,436=4,380=0,893=0,000=-0,000=0,000=0,975=-0,221
74,666=4,381=0,895=0,000=-0,000=0,000=0,975=-0,221
74,756=4,382=0,897=0,000=-0,000=0,000=0,975=-0,221
74,916=4,382=0,898=0,000=-0,000=0,000=0,975=-0,222
74,996=4,383=0,899=0,000=-0,000=0,000=0,975=-0,221
75,056=4,383=0,901=0,000=-0,000=0,000=0,975=-0,222
75,116=4,384=0,902=0,000=-0,000=0,000=0,975=-0,222
75,196=4,384=0,903=0,000=-0,000=0,000=0,975=-0,222
75,316=4,385=0,905=0,000=-0,000=0,000=0,975=-0,222
75,376=4,386=0,906=0,000=-0,000=0,000=0,975=-0,222
75,546=4,386=0,908=0,000=-0,000=0,000=0,975=-0,223
75,646=4,387=0,910=0,000=-0,000=0,000=0,975=-0,223
75,716=4,388=0,911=0,000=-0,000=0,000=0,975=-0,223
75,796=4,388=0,912=0,000=-0,000=0,000=0,975=-0,223
