timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
87,829=-3,078=-0,854=0,000=0,000=0,000=0,267=0,964
87,909=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
87,989=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,069=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,159=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,239=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,319=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,479=-3,032=-0,805=0,000=0,000=0,000=0,304=0,953
88,559=-3,033=-0,790=0,000=0,000=0,000=0,321=0,947
88,649=-3,024=-0,768=0,000=0,000=0,000=0,328=0,945
88,729=-3,011=-0,758=0,000=0,000=0,000=0,333=0,943
88,809=-2,997=-0,752=0,000=0,000=0,000=0,336=0,942
88,889=-2,986=-0,748=0,000=0,000=0,000=0,337=0,941
88,969=-2,979=-0,746=0,000=0,000=0,000=0,338=0,941
89,039=-2,974=-0,745=0,000=0,000=0,000=0,338=0,941
89,119=-2,971=-0,745=0,000=0,000=0,000=0,339=0,941
89,179=-2,969=-0,744=0,000=0,000=0,000=0,339=0,941
89,249=-2,969=-0,744=0,000=0,000=0,000=0,339=0,941
89,369=-2,969=-0,745=0,000=0,000=0,000=0,339=0,941
89,439=-2,969=-0,744=0,000=0,000=0,000=0,339=0,941
89,519=-2,968=-0,744=0,000=0,000=0,000=0,339=0,941
89,599=-2,968=-0,744=0,000=0,000=0,000=0,339=0,941
89,669=-2,968=-0,745=0,000=0,000=0,000=0,339=0,941
89,759=-2,969=-0,744=0,000=0,000=0,000=0,339=0,941
89,839=-2,969=-0,744=0,000=0,000=0,000=0,339=0,941
89,919=-2,968=-0,744=0,000=0,000=0,000=0,339=0,941
90,079=-2,968=-0,745=0,000=0,000=0,000=0,339=0,941
90,169=-2,968=-0,744=0,000=0,000=0,000=0,339=0,941
90,249=-2,966=-0,744=0,000=0,000=0,000=0,339=0,941
90,329=-2,967=-0,744=0,000=0,000=0,000=0,339=0,941
90,409=-2,968=-0,744=0,000=0,000=0,000=0,339=0,941
90,489=-2,967=-0,744=0,000=0,000=0,000=0,339=0,941
90,659=-2,968=-0,745=0,000=0,000=0,000=0,339=0,941
90,749=-2,967=-0,744=0,000=0,000=0,000=0,339=0,941
90,909=-2,967=-0,744=0,000=0,000=0,000=0,339=0,941
